iter	Passed	Remaining
0	18	18291
1	28	14172
2	41	13674
3	50	12649
4	68	13630
5	70	11624
6	77	10931
7	84	10430
8	95	10523
9	100	9944
10	102	9206
11	132	10910
12	147	11177
13	156	10992
14	170	11227
15	186	11497
16	196	11345
17	198	10848
18	201	10414
19	206	10111
20	209	9753
21	211	9421
22	214	9125
23	218	8873
24	220	8614
25	225	8433
26	227	8182
27	229	7974
28	232	7772
29	234	7531	354	10720
32	362	10635
33	370	10538
34	373	10295
35	380	10194
36	389	10130
37	394	9985
38	397	9784
39	399	9582
40	401	9400
41	407	9300
42	409	9111
43	440	9561
44	447	9503
45	451	9368
46	466	9457
47	469	9307
48	504	9793
49	510	9699
50	528	9836
51	559	10204
52	561	10032
53	585	10263
54	628	10802
55	643	10841
56	655	10836
57	661	10749
58	665	10610
59	670	10500
60	673	10373
61	677	10249
62	688	10239
63	692	10132
64	702	10101
65	707	10007
66	713	9934
67	718	9851
68	724	9778
69	729	9691
70	735	9627
71	741	9558
72	750	9529
73	753	9424
74	756	9324
75	761	9255
76	764	9160
77	771	9121
78	775	9038
79	779	8961
80	786	8922
81	788	8822
82	790	8732
83	793	8654
84	797	8581
85	800	8507
86	804	8441
87	808	8377
88	810	8296
89	816	8251
90	819	8185
91	822	8117
92	825	8052
93	828	7984
94	831	7918
95	834	7856
96	837	7797
97	841	7742
98	844	7689
99	846	7618
100	849	7557
101	852	7502
102	855	7452
103	858	7395
104	862	7347
105	865	7300
106	868	7244
107	875	7228
108	878	7183
109	884	7153
110	888	7117
111	891	7069
112	892	7005
113	896	6968
114	899	6923
115	903	6883
116	906	6837
117	909	6799
118	912	6759
119	916	6720
120	922	6698
121	925	6657
122	930	6632
123	934	6602
124	940	6581
125	947	6570
126	952	6548
127	955	6510
128	957	6465
129	962	6438
130	967	6417
131	971	6390
132	975	6356
133	980	6336
134	983	6301
135	988	6277
136	991	6244
137	994	6210
138	997	6179
139	1003	6163
140	1013	6176
141	1019	6161
142	1023	6135
143	1029	6117
144	1033	6092
145	1047	6124
146	1050	6095
147	1053	6064
148	1057	6040
149	1061	6015
150	1069	6015
151	1075	5999
152	1078	5970
153	1081	5941
154	1084	5914
155	1089	5895
156	1093	5873
157	1098	5852
158	1105	5849
159	1109	5824
160	1113	5804
161	1117	5781
162	1123	5769
163	1128	5752
164	1133	5735
165	1139	5723
166	1141	5693
167	1143	5663
168	1145	5633
169	1148	5605
170	1150	5578
171	1152	5548
172	1154	5521
173	1159	5503
174	1161	5476
175	1164	5450
176	1167	5429
177	1171	5407
178	1173	5383
179	1178	5369
180	1192	5398
181	1200	5394
182	1206	5388
183	1211	5370
184	1217	5363
185	1218	5331
186	1222	5313
187	1229	5310
188	1234	5296
189	1237	5274
190	1241	5257
191	1245	5240
192	1247	5217
193	1250	5193
194	1255	5184
195	1264	5187
196	1266	5163
197	1268	5139
198	1271	5116
199	1272	5091
200	1274	5067
201	1276	5043
202	1278	5019
203	1281	5001
204	1284	4980
205	1286	4958
206	1288	4936
207	1292	4922
208	1295	4902
209	1297	4881
210	1301	4867
211	1304	4847
212	1306	4825
213	1308	4805
214	1310	4785
215	1312	4764
216	1314	4744
217	1316	4723
218	1319	4705
219	1321	4685
220	1323	4666
221	1325	4646
222	1328	4628
223	1330	4608
224	1332	4589
225	1334	4569
226	1337	4555
227	1340	4538
228	1342	4519
229	1344	4500
230	1347	4484
231	1348	4465
232	1349	4442
233	1350	4420
234	1352	4403
235	1355	4387
236	1357	4370
237	1359	4353
238	1361	4333
239	1362	4316
240	1365	4301
241	1367	4282
242	1369	4265
243	1371	4248
244	1373	4233
245	1375	4216
246	1380	4209
247	1383	4194
248	1385	4177
249	1387	4161
250	1389	4145
251	1392	4132
252	1393	4115
253	1395	4099
254	1397	4082
255	1399	4066
256	1401	4051
257	1403	4035
258	1405	4019
259	1407	4005
260	1409	3991
261	1411	3976
262	1413	3961
263	1415	3946
264	1417	3931
265	1421	3922
266	1423	3908
267	1425	3894
268	1428	3881
269	1430	3867
270	1432	3854
271	1435	3841
272	1438	3830
273	1440	3816
274	1442	3802
275	1444	3788
276	1446	3775
277	1448	3763
278	1450	3749
279	1453	3737
280	1455	3723
281	1457	3710
282	1458	3696
283	1461	3684
284	1464	3673
285	1466	3660
286	1470	3651
287	1472	3640
288	1476	3632
289	1480	3625
290	1485	3618
291	1487	3606
292	1489	3594
293	1491	3581
294	1495	3573
295	1497	3560
296	1502	3556
297	1506	3547
298	1510	3540
299	1512	3529
300	1514	3518
301	1516	3506
302	1518	3493
303	1521	3482
304	1523	3471
305	1527	3463
306	1530	3454
307	1532	3443
308	1534	3430
309	1538	3423
310	1540	3413
311	1543	3403
312	1545	3391
313	1547	3380
314	1550	3370
315	1552	3361
316	1554	3350
317	1557	3339
318	1560	3331
319	1563	3321
320	1565	3310
321	1570	3306
322	1572	3296
323	1574	3286
324	1578	3277
325	1579	3266
326	1582	3256
327	1584	3245
328	1587	3238
329	1589	3227
330	1592	3218
331	1594	3208
332	1598	3202
333	1600	3192
334	1602	3181
335	1604	3171
336	1606	3161
337	1608	3150
338	1610	3140
339	1612	3130
340	1614	3121
341	1616	3110
342	1618	3099
343	1620	3089
344	1622	3080
345	1626	3073
346	1628	3064
347	1631	3056
348	1633	3047
349	1636	3039
350	1638	3030
351	1641	3020
352	1643	3011
353	1644	3001
354	1646	2991
355	1648	2982
356	1650	2973
357	1653	2965
358	1656	2956
359	1657	2947
360	1661	2940
361	1663	2931
362	1664	2921
363	1666	2912
364	1669	2903
365	1671	2894
366	1672	2885
367	1674	2876
368	1676	2867
369	1679	2859
370	1681	2850
371	1683	2841
372	1685	2832
373	1687	2824
374	1689	2815
375	1691	2807
376	1693	2798
377	1695	2789
378	1697	2781
379	1700	2774
380	1702	2765
381	1704	2756
382	1706	2749
383	1708	2741
384	1710	2732
385	1712	2723
386	1717	2719
387	1718	2711
388	1722	2704
389	1726	2699
390	1728	2692
391	1730	2683
392	1732	2675
393	1734	2668
394	1736	2660
395	1738	2652
396	1740	2643
397	1743	2636
398	1745	2629
399	1748	2623
400	1753	2619
401	1755	2612
402	1758	2604
403	1760	2596
404	1762	2589
405	1764	2582
406	1767	2575
407	1769	2567
408	1772	2560
409	1773	2552
410	1776	2545
411	1778	2538
412	1781	2532
413	1784	2525
414	1786	2518
415	1789	2511
416	1791	2504
417	1793	2497
418	1795	2489
419	1798	2484
420	1801	2477
421	1804	2470
422	1808	2466
423	1817	2468
424	1819	2461
425	1821	2454
426	1823	2447
427	1826	2441
428	1828	2434
429	1831	2427
430	1833	2421
431	1838	2416
432	1840	2410
433	1843	2403
434	1847	2400
435	1850	2393
436	1853	2387
437	1855	2381
438	1857	2373
439	1859	2366
440	1861	2360
441	1864	2354
442	1867	2347
443	1870	2342
444	1878	2343
445	1880	2336
446	1884	2330
447	1886	2324
448	1888	2317
449	1890	2310
450	1893	2304
451	1895	2297
452	1897	2290
453	1900	2285
454	1902	2278
455	1904	2272
456	1907	2266
457	1909	2260
458	1911	2253
459	1913	2246
460	1915	2239
461	1917	2233
462	1920	2227
463	1922	2220
464	1924	2214
465	1926	2207
466	1928	2201
467	1931	2195
468	1933	2189
469	1936	2183
470	1939	2178
471	1941	2172
472	1944	2166
473	1947	2161
474	1949	2154
475	1951	2148
476	1953	2141
477	1956	2136
478	1958	2130
479	1960	2124
480	1963	2118
481	1967	2114
482	1969	2108
483	1972	2102
484	1975	2097
485	1977	2091
486	1979	2084
487	1981	2078
488	1983	2072
489	1985	2067
490	1987	2060
491	1990	2054
492	1995	2052
493	1998	2047
494	2001	2041
495	2003	2035
496	2005	2029
497	2007	2023
498	2009	2017
499	2011	2011
500	2013	2005
501	2015	1999
502	2017	1993
503	2019	1987
504	2021	1981
505	2023	1975
506	2025	1969
507	2027	1963
508	2029	1958
509	2032	1952
510	2034	1946
511	2036	1940
512	2038	1935
513	2041	1929
514	2042	1923
515	2045	1918
516	2047	1913
517	2049	1907
518	2051	1901
519	2054	1896
520	2056	1890
521	2059	1886
522	2062	1881
523	2064	1875
524	2068	1871
525	2070	1865
526	2072	1859
527	2074	1854
528	2076	1849
529	2079	1844
530	2081	1838
531	2084	1833
532	2088	1829
533	2091	1824
534	2093	1819
535	2096	1815
536	2098	1809
537	2101	1804
538	2104	1799
539	2107	1794
540	2109	1789
541	2111	1784
542	2120	1784
543	2125	1781
544	2127	1776
545	2130	1771
546	2132	1766
547	2134	1760
548	2136	1755
549	2138	1749
550	2141	1744
551	2143	1739
552	2145	1734
553	2147	1729
554	2150	1724
555	2153	1719
556	2155	1714
557	2158	1709
558	2160	1704
559	2162	1699
560	2164	1693
561	2166	1688
562	2169	1684
563	2171	1678
564	2173	1673
565	2176	1668
566	2179	1664
567	2182	1659
568	2185	1655
569	2188	1650
570	2190	1645
571	2192	1640
572	2194	1635
573	2196	1630
574	2199	1625
575	2201	1620
576	2203	1615
577	2205	1610
578	2208	1605
579	2210	1600
580	2213	1596
581	2217	1592
582	2219	1587
583	2222	1583
584	2224	1578
585	2227	1573
586	2229	1568
587	2232	1564
588	2235	1559
589	2238	1555
590	2257	1561
591	2260	1557
592	2265	1554
593	2268	1550
594	2279	1551
595	2286	1549
596	2294	1548
597	2298	1545
598	2304	1542
599	2309	1539
600	2313	1536
601	2320	1533
602	2323	1529
603	2326	1525
604	2330	1521
605	2333	1517
606	2339	1514
607	2342	1510
608	2344	1505
609	2352	1504
610	2357	1500
611	2360	1496
612	2367	1494
613	2379	1495
614	2381	1490
615	2384	1486
616	2387	1481
617	2391	1478
618	2398	1476
619	2400	1471
620	2404	1467
621	2406	1462
622	2408	1457
623	2412	1453
624	2414	1448
625	2417	1444
626	2419	1439
627	2425	1436
628	2427	1432
629	2431	1428
630	2434	1423
631	2437	1419
632	2440	1415
633	2443	1410
634	2444	1405
635	2446	1400
636	2450	1396
637	2453	1392
638	2455	1387
639	2461	1384
640	2464	1380
641	2466	1375
642	2469	1371
643	2472	1366
644	2474	1361
645	2475	1356
646	2479	1352
647	2481	1347
648	2483	1343
649	2488	1339
650	2497	1339
651	2500	1334
652	2502	1329
653	2504	1325
654	2507	1320
655	2509	1315
656	2511	1311
657	2513	1306
658	2515	1301
659	2517	1296
660	2520	1292
661	2522	1287
662	2524	1283
663	2527	1278
664	2529	1274
665	2531	1269
666	2534	1265
667	2536	1260
668	2538	1255
669	2540	1251
670	2543	1247
671	2545	1242
672	2547	1237
673	2549	1233
674	2552	1228
675	2554	1224
676	2556	1219
677	2558	1215
678	2561	1210
679	2564	1206
680	2566	1201
681	2567	1197
682	2570	1192
683	2571	1188
684	2573	1183
685	2576	1179
686	2578	1174
687	2582	1170
688	2584	1166
689	2586	1161
690	2588	1157
691	2591	1153
692	2593	1148
693	2595	1144
694	2597	1139
695	2599	1135
696	2601	1130
697	2603	1126
698	2606	1122
699	2609	1118
700	2617	1116
701	2621	1112
702	2623	1108
703	2626	1104
704	2628	1099
705	2630	1095
706	2632	1091
707	2636	1087
708	2638	1083
709	2640	1078
710	2642	1074
711	2645	1070
712	2647	1065
713	2649	1061
714	2657	1059
715	2660	1055
716	2662	1050
717	2664	1046
718	2666	1042
719	2668	1037
720	2670	1033
721	2674	1029
722	2677	1025
723	2681	1022
724	2683	1017
725	2685	1013
726	2687	1009
727	2690	1005
728	2692	1000
729	2694	996
730	2696	992
731	2699	988
732	2701	984
733	2704	980
734	2706	975
735	2709	971
736	2711	967
737	2714	963
738	2717	959
739	2719	955
740	2721	951
741	2723	947
742	2726	943
743	2729	939
744	2731	934
745	2734	930
746	2739	928
747	2743	924
748	2746	920
749	2748	916
750	2750	912
751	2753	907
752	2755	903
753	2757	899
754	2759	895
755	2761	891
756	2763	887
757	2766	883
758	2769	879
759	2771	875
760	2774	871
761	2776	867
762	2778	863
763	2780	859
764	2782	854
765	2785	850
766	2787	846
767	2789	842
768	2791	838
769	2794	834
770	2796	830
771	2798	826
772	2801	822
773	2804	818
774	2806	814
775	2808	810
776	2810	806
777	2813	802
778	2815	798
779	2817	794
780	2819	790
781	2821	786
782	2824	782
783	2827	779
784	2830	775
785	2832	771
786	2835	767
787	2837	763
788	2840	759
789	2842	755
790	2845	751
791	2847	747
792	2849	743
793	2851	739
794	2854	735
795	2856	731
796	2858	728
797	2861	724
798	2863	720
799	2865	716
800	2868	712
801	2870	708
802	2872	704
803	2874	700
804	2877	696
805	2879	692
806	2882	689
807	2884	685
808	2886	681
809	2889	677
810	2891	673
811	2894	670
812	2897	666
813	2899	662
814	2901	658
815	2903	654
816	2905	650
817	2908	647
818	2910	643
819	2912	639
820	2915	635
821	2917	631
822	2920	628
823	2923	624
824	2925	620
825	2929	617
826	2931	613
827	2933	609
828	2935	605
829	2938	601
830	2940	597
831	2943	594
832	2945	590
833	2948	586
834	2951	583
835	2953	579
836	2956	575
837	2959	572
838	2961	568
839	2964	564
840	2966	560
841	2969	557
842	2971	553
843	2973	549
844	2976	545
845	2978	542
846	2984	539
847	2988	535
848	2990	531
849	2992	528
850	2995	524
851	2997	520
852	2999	516
853	3002	513
854	3004	509
855	3006	505
856	3008	501
857	3011	498
858	3014	494
859	3016	491
860	3019	487
861	3021	483
862	3023	479
863	3025	476
864	3027	472
865	3029	468
866	3032	465
867	3033	461
868	3035	457
869	3037	453
870	3040	450
871	3043	446
872	3044	442
873	3048	439
874	3050	435
875	3052	432
876	3054	428
877	3056	424
878	3058	421
879	3060	417
880	3062	413
881	3065	410
882	3067	406
883	3069	402
884	3072	399
885	3075	395
886	3078	392
887	3080	388
888	3082	384
889	3084	381
890	3087	377
891	3089	374
892	3092	370
893	3096	367
894	3098	363
895	3100	359
896	3110	357
897	3116	353
898	3118	350
899	3125	347
900	3127	343
901	3136	340
902	3144	337
903	3147	334
904	3149	330
905	3151	327
906	3153	323
907	3155	319
908	3157	316
909	3159	312
910	3163	309
911	3166	305
912	3171	302
913	3179	299
914	3184	295
915	3188	292
916	3193	289
917	3198	285
918	3201	282
919	3204	278
920	3208	275
921	3210	271
922	3213	268
923	3216	264
924	3220	261
925	3222	257
926	3226	254
927	3237	251
928	3240	247
929	3243	244
930	3246	240
931	3248	237
932	3250	233
933	3253	229
934	3256	226
935	3258	222
936	3261	219
937	3263	215
938	3266	212
939	3268	208
940	3270	205
941	3274	201
942	3276	198
943	3278	194
944	3280	190
945	3282	187
946	3284	183
947	3287	180
948	3289	176
949	3292	173
950	3294	169
951	3295	166
952	3297	162
953	3300	159
954	3302	155
955	3304	152
956	3306	148
957	3308	145
958	3310	141
959	3312	138
960	3314	134
961	3316	131
962	3318	127
963	3320	124
964	3323	120
965	3325	117
966	3327	113
967	3329	110
968	3331	106
969	3333	103
970	3335	99
971	3338	96
972	3339	92
973	3342	89
974	3344	85
975	3346	82
976	3349	78
977	3351	75
978	3356	71
979	3360	68
980	3362	65
981	3364	61
982	3366	58
983	3368	54
984	3370	51
985	3372	47
986	3374	44
987	3376	41
988	3378	37
989	3380	34
990	3383	30
991	3386	27
992	3388	23
993	3391	20
994	3393	17
995	3395	13
996	3397	10
997	3399	6
998	3401	3
999	3403	0
310	242
977	10312	231
978	10315	221
979	10317	210
980	10322	199
981	10325	189
982	10328	178
983	10331	167
984	10334	157
985	10336	146
986	10339	136
987	10342	125
988	10348	115
989	10352	104
990	10358	94
991	10367	83
992	10370	73
993	10374	62
994	10376	52
995	10379	41
996	10383	31
997	10386	20
998	10393	10
999	10400	0
