iter	Passed	Remaining
0	11	11035
1	20	10221
2	31	10593
3	58	14448
4	84	16757
5	104	17344
6	111	15887
7	120	14989
8	133	14704
9	147	14617
10	168	15122
11	188	15526
12	193	14663
13	202	14242
14	215	14128
15	225	13839
16	231	13366
17	243	13266
18	259	13413
19	271	13299
20	285	13293
21	301	13384
22	317	13501
23	323	13153
24	329	12835
25	334	12547
26	341	12300
27	346	12043
28	355	11886
29	359	11632
30	365	11415
31	369	11185
32	375	11016
33	381	10841
34	385	10628
35	391	10475
36	396	10310
37	405	10278
38	417	10292
39	453	10880
40	474	11099
41	489	11170
42	499	11111
43	504	10961
44	509	10822
45	517	10728
46	522	10591
47	533	10581
48	542	10537
49	555	10547
50	559	10412
51	565	10310
52	569	10178
53	573	10049
54	578	9937
55	583	9835
56	588	9731
57	593	9634
58	598	9547
59	602	9441
60	613	9448
61	624	9454
62	634	9441
63	650	9509
64	661	9512
65	666	9428
66	670	9334
67	674	9251
68	681	9201
69	685	9112
70	690	9031
71	702	9059
72	707	8979
73	712	8909
74	716	8830
75	720	8758
76	725	8693
77	729	8625
78	734	8564
79	740	8518
80	746	8469
81	752	8422
82	757	8366
83	762	8317
84	768	8269
85	772	8213
86	778	8166
87	783	8118
88	788	8068
89	793	8027
90	798	7978
91	804	7938
92	810	7904
93	816	7868
94	822	7831
95	827	7796
96	832	7752
97	839	7724
98	844	7686
99	849	7643
100	856	7621
101	860	7579
102	866	7547
103	871	7511
104	877	7480
105	883	7448
106	889	7420
107	894	7389
108	899	7356
109	905	7327
110	911	7301
111	916	7269
112	922	7238
113	928	7215
114	935	7200
115	945	7206
116	952	7189
117	957	7157
118	962	7126
119	968	7102
120	973	7068
121	977	7033
122	983	7013
123	987	6978
124	991	6943
125	997	6921
126	1002	6891
127	1007	6861
128	1011	6832
129	1016	6803
130	1020	6771
131	1027	6757
132	1031	6727
133	1036	6695
134	1040	6665
135	1044	6638
136	1048	6607
137	1053	6580
138	1057	6550
139	1062	6524
140	1066	6496
141	1071	6471
142	1075	6448
143	1079	6416
144	1083	6391
145	1087	6363
146	1092	6340
147	1097	6317
148	1101	6292
149	1105	6267
150	1110	6243
151	1114	6219
152	1119	6195
153	1124	6178
154	1128	6154
155	1133	6131
156	1138	6110
157	1142	6088
158	1146	6064
159	1150	6041
160	1156	6026
161	1160	6004
162	1165	5986
163	1170	5968
164	1175	5950
165	1180	5929
166	1185	5912
167	1190	5896
168	1194	5872
169	1199	5855
170	1204	5840
171	1209	5822
172	1213	5802
173	1218	5783
174	1222	5763
175	1227	5747
176	1231	5727
177	1237	5712
178	1241	5695
179	1246	5680
180	1253	5671
181	1257	5652
182	1261	5633
183	1266	5616
184	1271	5602
185	1276	5585
186	1280	5568
187	1285	5551
188	1289	5534
189	1294	5519
190	1299	5504
191	1304	5488
192	1308	5469
193	1314	5462
194	1319	5448
195	1324	5431
196	1329	5418
197	1334	5404
198	1340	5393
199	1344	5379
200	1348	5362
201	1352	5344
202	1357	5328
203	1361	5311
204	1365	5296
205	1369	5280
206	1373	5262
207	1377	5246
208	1382	5231
209	1387	5217
210	1390	5200
211	1394	5184
212	1398	5167
213	1402	5151
214	1405	5133
215	1408	5110
216	1413	5100
217	1417	5083
218	1420	5066
219	1424	5049
220	1428	5034
221	1431	5017
222	1435	5001
223	1439	4985
224	1444	4974
225	1452	4973
226	1457	4962
227	1461	4949
228	1464	4931
229	1468	4916
230	1473	4904
231	1477	4889
232	1480	4874
233	1483	4857
234	1487	4843
235	1491	4828
236	1496	4816
237	1500	4804
238	1504	4792
239	1509	4780
240	1513	4766
241	1518	4754
242	1522	4743
243	1526	4729
244	1530	4715
245	1533	4701
246	1538	4690
247	1543	4679
248	1547	4666
249	1551	4653
250	1556	4643
251	1559	4630
252	1563	4617
253	1567	4604
254	1572	4592
255	1575	4580
256	1580	4568
257	1584	4557
258	1589	4546
259	1593	4534
260	1597	4523
261	1601	4512
262	1605	4499
263	1609	4486
264	1612	4473
265	1616	4460
266	1620	4448
267	1623	4435
